station_abbr,reference_timestamp,tre200h0,tre200hn,tre200hx,tre005h0,tre005hn,ure200h0,pva200h0,tde200h0,prestah0,pp0qffh0,pp0qnhh0,ppz700h0,ppz850h0,fkl010h1,dkl010h0,fkl010h0,fu3010h0,fu3010h1,fkl010h3,fu3010h3,wcc006h0,fve010h0,rre150h0,htoauths,gre000h0,oli000h0,olo000h0,osr000h0,ods000h0,sre000h0,erefaoh0,tso005hs,tso010hs,tso020hs
BER,20.03.2026 00:00,2.5,2.2,3.1,-1.9,-2.5,78.9,5.8,-0.8,953.3,1020.4,1018.4,,,3.5,11,1.8,6.5,12.6,3.4,12.2,,,0,0,0,241,,,,0,-0.004,6.1,6.6,6.8
BER,20.03.2026 01:00,0.8,0.4,1.2,-3.2,-3.7,86.6,5.6,-1.2,952.9,1020.5,1018,,,2.7,9,1.4,5,9.7,2.6,9.4,,,0,0,0,240,,,,0,-0.008,5.9,6.4,6.8
BER,20.03.2026 02:00,0.9,0.1,2.1,-3.5,-4.6,84.7,5.5,-1.4,952.5,1020,1017.6,,,2.3,39,1,3.6,8.3,2.3,8.3,,,0,0,0,239,,,,0,-0.01,5.7,6.3,6.7
BER,20.03.2026 03:00,0.4,-0.1,1.7,-4.9,-5.4,86.7,5.5,-1.6,952.3,1019.9,1017.4,,,1.8,18,0.8,2.9,6.5,1.8,6.5,,,0,0,0,238,,,,0,-0.012,5.5,6.1,6.6
BER,20.03.2026 04:00,-0.1,-0.6,0.9,-6.1,-6.7,88.6,5.4,-1.8,952.7,1020.4,1017.8,,,0.9,45,0.4,1.4,3.2,0.8,2.9,,,0,0,0,237,,,,0,-0.015,5.3,6,6.6
BER,20.03.2026 05:00,-0.9,-1.8,0.3,-6.5,-7.1,91,5.2,-2.2,952.9,1020.9,1018,,,1.3,90,0.4,1.4,4.7,1.3,4.7,,,0,0,0,236,,,,0,-0.014,5.1,5.8,6.5
BER,20.03.2026 06:00,-1.1,-1.4,-0.5,-7.2,-7.5,92.1,5.2,-2.2,953.3,1021.3,1018.4,,,0.7,225,0.2,0.7,2.5,0.6,2.2,,,0,0,6,235,,,,0,-0.015,4.9,5.7,6.4
BER,20.03.2026 07:00,-0.5,-1.6,0.7,-2.3,-5.9,90.2,5.3,-2,953.6,1021.5,1018.7,,,0.9,153,0.3,1.1,3.2,0.9,3.2,,,0,0,106,235,,,,47,0.025,4.8,5.5,6.3
BER,20.03.2026 08:00,2.8,1.5,4.3,5.3,2.8,78.5,5.9,-0.6,953.6,1020.7,1018.7,,,1.1,207,0.4,1.4,4,1,3.6,,,0,0,297,240,,,,60,0.1,4.7,5.4,6.2
BER,20.03.2026 09:00,5.8,4.6,6.9,11.4,9.6,69.2,6.4,0.6,953.5,1019.8,1018.6,,,1.3,288,0.3,1.1,4.7,1.3,4.7,,,0,0,467,248,,,,60,0.19,5,5.4,6.2
BER,20.03.2026 10:00,8.2,7.7,8.7,14.8,13.6,59.5,6.5,0.8,953.4,1019.2,1018.5,,,3.8,8,1.7,6.1,13.7,3.8,13.7,,,0,0,607,254,,,,60,0.272,5.6,5.6,6.1
BER,20.03.2026 11:00,9.7,8.6,10.5,16.6,16,57.4,6.9,1.7,953,1018.3,1018.1,,,4.5,331,1.7,6.1,16.2,4.4,15.8,,,0,0,699,259,,,,60,0.332,6.2,5.9,6.1
BER,20.03.2026 12:00,11,10.4,11.4,17.8,17.6,54.1,7.1,2.1,952.6,1017.6,1017.7,,,7.9,8,3.1,11.2,28.4,7.7,27.7,,,0,0,739,265,,,,60,0.364,6.7,6.2,6.1
BER,20.03.2026 13:00,12.1,11.5,12.9,18,17.7,51,7.2,2.2,952,1016.6,1017,,,6.4,9,3.3,11.9,23,6.3,22.7,,,0,0,706,268,,,,60,0.365,7.2,6.5,6.2
BER,20.03.2026 14:00,12.7,12.2,13.1,18.8,18.3,45.8,6.7,1.3,951.5,1015.9,1016.5,,,5.3,17,2.4,8.6,19.1,5.1,18.4,,,0,0,643,270,,,,60,0.342,7.7,6.9,6.3
BER,20.03.2026 15:00,13,12.6,13.3,18,17.1,43.2,6.5,0.8,951.1,1015.5,1016.1,,,6.4,10,2.9,10.4,23,6.1,22,,,0,0,515,270,,,,60,0.285,8,7.2,6.5
BER,20.03.2026 16:00,13.1,12.7,13.3,15.6,14.2,39.7,6,-0.4,950.7,1015,1015.7,,,6.7,17,3.3,11.9,24.1,6.4,23,,,0,0,345,269,,,,60,0.213,8.1,7.4,6.6
BER,20.03.2026 17:00,12.1,11.6,12.6,11.9,9.8,38.1,5.4,-1.7,950.5,1015,1015.5,,,6.3,31,2.8,10.1,22.7,6,21.6,,,0,0,167,264,,,,60,0.117,8,7.5,6.8
BER,20.03.2026 18:00,10.1,8.6,11.4,5.7,3.6,40.9,5,-2.7,950.5,1015.6,1015.5,,,4.2,43,2.2,7.9,15.1,4.1,14.8,,,0,0,21,257,,,,21,0.022,7.8,7.5,6.9
BER,20.03.2026 19:00,7,5.7,7.7,1.9,1.1,55.7,5.5,-1.3,950.5,1016.3,1015.5,,,4.2,36,2.4,8.6,15.1,4.1,14.8,,,0,0,0,257,,,,0,0.013,7.5,7.4,7
BER,20.03.2026 20:00,4.7,3.4,5.3,0,-1.4,67.2,5.7,-0.9,950.4,1016.7,1015.4,,,3.7,27,2.2,7.9,13.3,3.5,12.6,,,0,0,0,250,,,,0,0.004,7.1,7.3,7
BER,20.03.2026 21:00,3.7,3.2,3.9,-1.4,-2,70.3,5.6,-1.2,950.3,1016.9,1015.3,,,3,13,1.4,5,10.8,3,10.8,,,0,0,0,244,,,,0,-0.003,6.8,7.1,7
BER,20.03.2026 22:00,2.3,1.5,3.7,-2.5,-2.8,77.4,5.6,-1.3,950.2,1017.2,1015.1,,,1.9,5,1.3,4.7,6.8,1.9,6.8,,,0,0,0,243,,,,0,-0.005,6.6,6.9,7
BER,20.03.2026 23:00,1.2,0.8,1.8,-3.9,-5,81.1,5.4,-1.7,949.9,1017.1,1014.8,,,2.2,29,1,3.6,7.9,2.1,7.6,,,0,0,0,241,,,,0,-0.009,6.3,6.8,6.9
